Ljavax/xml/bind/annotation/XmlTransient,57
Lcom/amazonaws/annotation/Beta,57
Ljavax/annotation/PostConstruct,56
Lorg/springframework/boot/context/properties/DeprecatedConfigurationProperty,55
Lkotlin/ExperimentalStdlibApi,55
Lorg/apache/logging/log4j/core/pattern/ConverterKeys,55
Lcom/google/errorprone/annotations/CheckReturnValue,55
Lorg/osgi/service/component/annotations/Deactivate,55
Lorg/apache/http/annotation/ThreadSafe,55
Lio/vertx/codegen/annotations/CacheReturn,54
Lcom/google/errorprone/annotations/Immutable,54
Lkotlin/annotation/Retention,54
Lcom/hazelcast/internal/serialization/BinaryInterface,53
Lkotlin/time/ExperimentalTime,53
Ljavax/annotation/ParametersAreNonnullByDefault,53
Lorg/apache/curator/shaded/com/google/common/annotations/VisibleForTesting,53
Lorg/spark_project/jetty/util/annotation/ManagedObject,52
Lorg/infinispan/protostream/annotations/ProtoField,52
Lorg/codehaus/groovy/transform/GroovyASTTransformation,52
Lorg/codehaus/groovy/transform/GroovyASTTransformationClass,51
Lorg/springframework/jmx/export/annotation/ManagedOperation,51
Lcom/google/inject/ImplementedBy,51
Lorg/jvnet/hk2/annotations/Inject,51
Ljsinterop/annotations/JsIgnore,51
Lorg/apache/logging/log4j/core/config/plugins/PluginBuilderFactory,50
Lgroovyjarjarantlr4/v4/codegen/model/ModelElement,50
Lcom/google/gwt/dom/client/TagName,50
Lorg/apache/struts2/views/annotations/StrutsTag,49
Lcom/amazonaws/annotation/ThreadSafe,48
Lorg/aspectj/lang/annotation/Pointcut,48
Lorg/springframework/context/annotation/Role,48
Ljsinterop/annotations/JsMethod,48
Lnet/sf/ehcache/util/ManagementAttribute,48
Ljakarta/inject/Inject,47
Lorg/springframework/boot/autoconfigure/condition/ConditionalOnWebApplication,47
Lorg/apache/http/annotation/Obsolete,47
Lorg/apache/cxf/common/util/ReflectionInvokationHandler$WrapReturn,47
Lorg/mockito/CheckReturnValue,46
Lorg/kuali/rice/krad/datadictionary/parse/BeanTags,46
Lorg/apache/logging/log4j/core/config/plugins/PluginElement,45
Lcom/hazelcast/spi/annotation/PrivateApi,45
Lcom/amazonaws/annotation/Immutable,45
Ljavax/annotation/CheckReturnValue,45
Lorg/apache/http/annotation/GuardedBy,44
Lcom/amazonaws/annotation/SdkTestInternalApi,44
Lorg/kuali/rice/krad/web/bind/RequestAccessible,44
Lorg/wso2/carbon/config/annotation/Configuration,43
Lorg/infinispan/factories/annotations/Stop,42
Lorg/apache/maven/plugins/annotations/Parameter,42
Lkanela/agent/libs/net/bytebuddy/asm/Advice$OnMethodEnter,42
Lnet/shibboleth/utilities/java/support/annotation/Duration,42
Lorg/kuali/rice/krad/uif/lifecycle/ViewLifecycleRestriction,41
Lcom/amazonaws/annotation/NotThreadSafe,40
Lorg/apache/hadoop/io/retry/Idempotent,40
Lorg/joda/convert/FromString,40
Ljavax/ws/rs/GET,40
Lorg/apache/poi/util/Removal,39
Lcom/google/gwt/safehtml/client/SafeHtmlTemplates$Template,39
Lorg/xwiki/component/annotation/Component,39
Lliquibase/pro/packaged/a,38
Lcom/google/gwt/resources/client/ImageResource$ImageOptions,38
Lorg/infinispan/factories/annotations/DefaultFactoryFor,38
Lorg/springframework/lang/NonNull,38
Lorg/springframework/boot/actuate/endpoint/annotation/ReadOperation,38
Lio/vertx/codegen/annotations/DataObject,38
Lorg/springframework/jmx/export/annotation/ManagedMetric,37
Lcom/google/gwt/safehtml/shared/annotations/SuppressIsSafeHtmlCastCheck,37
Lorg/apache/yetus/audience/InterfaceAudience$LimitedPrivate,37
Lorg/codehaus/mojo/animal_sniffer/IgnoreJRERequirement,37
Ljavax/xml/bind/annotation/XmlRegistry,37
Lcom/hazelcast/internal/serialization/SerializableByConvention,37
Lcom/google/gwt/resources/client/CssResource$ClassName,37
Lorg/modeshape/common/annotation/Immutable,37
Lcom/fasterxml/jackson/annotation/JsonInclude,36
Lcom/google/api/core/InternalApi,36
Lorg/springframework/jmx/export/annotation/ManagedAttribute,36
Lcom/google/errorprone/annotations/DoNotMock,36
Ljavax/xml/bind/annotation/XmlID,36
